"Date";"Booking text";"Curr";"Amount details";"ZKB reference";"Reference number";"Debit CHF";"Credit CHF";"Value date";"Balance CHF";"Payment purpose";"Details"
"18.04.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"99.09";"";"18.04.2025";"4370.76";"";""
"20.04.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.04.2025";"2870.76";"credit own account";""
"25.04.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.04.2025";"2866.76";"";""
"01.05.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.05.2025";"9366.76";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.05.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.05.2025";"7386.76";"transfer to mortgage no. 1234567";""
"03.05.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.05.2025";"6746.76";"nebenkosten akonto";""
"05.05.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.05.2025";"5901.26";"";""
"06.05.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.05.2025";"5601.26";"standing order pocket money";""
"09.05.2025";"Debit eBill: AXA Versicherungen AG";"";"";"Z25000000000";"";"318.40";"";"09.05.2025";"5282.86";"";""
"12.05.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"1705.63";"";"12.05.2025";"3577.23";"";""
"15.05.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.05.2025";"3458.23";"";""
"18.05.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"105.94";"";"18.05.2025";"3352.29";"";""
"20.05.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.05.2025";"1852.29";"credit own account";""
"25.05.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.05.2025";"1848.29";"";""
"01.06.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.06.2025";"8348.29";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.06.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.06.2025";"6368.29";"transfer to mortgage no. 1234567";""
"03.06.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.06.2025";"5728.29";"nebenkosten akonto";""
"05.06.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.06.2025";"4882.79";"";""
"06.06.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.06.2025";"4582.79";"standing order pocket money";""
"12.06.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"1892.85";"";"12.06.2025";"2689.94";"";""
"15.06.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.06.2025";"2570.94";"";""
"18.06.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"96.27";"";"18.06.2025";"2474.67";"";""
"20.06.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.06.2025";"974.67";"credit own account";""
"25.06.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.06.2025";"970.67";"";""
"01.07.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.07.2025";"7470.67";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.07.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.07.2025";"5490.67";"transfer to mortgage no. 1234567";""
"03.07.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.07.2025";"4850.67";"nebenkosten akonto";""
"05.07.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.07.2025";"4005.17";"";""
"06.07.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.07.2025";"3705.17";"standing order pocket money";""
"12.07.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"2484.75";"";"12.07.2025";"1220.42";"";""
"15.07.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.07.2025";"1101.42";"";""
"18.07.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"145.92";"";"18.07.2025";"955.50";"";""
"20.07.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.07.2025";"-544.50";"credit own account";""
"25.07.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.07.2025";"-548.50";"";""
"01.08.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.08.2025";"5951.50";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.08.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.08.2025";"3971.50";"transfer to mortgage no. 1234567";""
"03.08.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.08.2025";"3331.50";"nebenkosten akonto";""
"05.08.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.08.2025";"2486.00";"";""
"06.08.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.08.2025";"2186.00";"standing order pocket money";""
"09.08.2025";"Debit eBill: AXA Versicherungen AG";"";"";"Z25000000000";"";"318.40";"";"09.08.2025";"1867.60";"";""
"12.08.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"2405.50";"";"12.08.2025";"-537.90";"";""
"14.08.2025";"Debit Collective order";"";"";"Z25000000999";"";"";"";"14.08.2025";"-537.90";"";""
"";"Sanitaer Bruggmann AG";"CHF";"380.00";"";"";"";"";"";"";"badezimmer reparatur";""
"";"Gemeindeverwaltung Uster";"CHF";"145.00";"";"";"";"";"";"";"wasserversorgung";""
"15.08.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.08.2025";"-656.90";"";""
"18.08.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"88.50";"";"18.08.2025";"-745.40";"";""
"20.08.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.08.2025";"-2245.40";"credit own account";""
"25.08.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.08.2025";"-2249.40";"";""
"01.09.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.09.2025";"4250.60";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.09.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.09.2025";"2270.60";"transfer to mortgage no. 1234567";""
"03.09.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.09.2025";"1630.60";"nebenkosten akonto";""
"05.09.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.09.2025";"785.10";"";""
"06.09.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.09.2025";"485.10";"standing order pocket money";""
"12.09.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"2240.42";"";"12.09.2025";"-1755.32";"";""
"15.09.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.09.2025";"-1874.32";"";""
"18.09.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"125.28";"";"18.09.2025";"-1999.60";"";""
"20.09.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.09.2025";"-3499.60";"credit own account";""
"20.09.2025";"Debit eBill: Steueramt Kanton Zurich";"";"";"Z25000000000";"";"4200.00";"";"20.09.2025";"-7699.60";"";""
"25.09.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.09.2025";"-7703.60";"";""
"01.10.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.10.2025";"-1203.60";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.10.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.10.2025";"-3183.60";"transfer to mortgage no. 1234567";""
"02.10.2025";"Debit Account transfer: Hornbach Baumarkt";"";"";"Z25000000000";"";"1290.00";"";"02.10.2025";"-4473.60";"badezimmer umbau #housing_upgrades";""
"03.10.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.10.2025";"-5113.60";"nebenkosten akonto";""
"05.10.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.10.2025";"-5959.10";"";""
"06.10.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.10.2025";"-6259.10";"standing order pocket money";""
"12.10.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"1643.75";"";"12.10.2025";"-7902.85";"";""
"15.10.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.10.2025";"-8021.85";"";""
"18.10.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"113.78";"";"18.10.2025";"-8135.63";"";""
"20.10.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.10.2025";"-9635.63";"credit own account";""
"25.10.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.10.2025";"-9639.63";"";""
"01.11.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.11.2025";"-3139.63";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.11.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.11.2025";"-5119.63";"transfer to mortgage no. 1234567";""
"03.11.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.11.2025";"-5759.63";"nebenkosten akonto";""
"05.11.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.11.2025";"-6605.13";"";""
"06.11.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.11.2025";"-6905.13";"standing order pocket money";""
"09.11.2025";"Debit eBill: AXA Versicherungen AG";"";"";"Z25000000000";"";"318.40";"";"09.11.2025";"-7223.53";"";""
"12.11.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"2240.91";"";"12.11.2025";"-9464.44";"";""
"15.11.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.11.2025";"-9583.44";"";""
"18.11.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"71.03";"";"18.11.2025";"-9654.47";"";""
"20.11.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.11.2025";"-11154.47";"credit own account";""
"25.11.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.11.2025";"-11158.47";"";""
"01.12.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.12.2025";"-4658.47";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.12.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.12.2025";"-6638.47";"transfer to mortgage no. 1234567";""
"03.12.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.12.2025";"-7278.47";"nebenkosten akonto";""
"05.12.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.12.2025";"-8123.97";"";""
"06.12.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.12.2025";"-8423.97";"standing order pocket money";""
"12.12.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"1810.50";"";"12.12.2025";"-10234.47";"";""
"15.12.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.12.2025";"-10353.47";"";""
"18.12.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"91.61";"";"18.12.2025";"-10445.08";"";""
"20.12.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.12.2025";"-11945.08";"credit own account";""
"25.12.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.12.2025";"-11949.08";"";""
