Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2025-04-17 17:00:00,2025-04-18 17:00:00,Sainsbury's,-39.65,0.00,GBP,COMPLETED,1268.11
Card Refund,Current,2025-04-19 14:00:00,2025-04-20 14:00:00,Tesco,23.40,0.00,GBP,COMPLETED,1291.51
Card Payment,Current,2025-04-24 10:00:00,2025-04-25 10:00:00,Tesco,-65.74,0.00,GBP,COMPLETED,1225.77
Card Payment,Current,2025-04-25 16:00:00,2025-04-26 16:00:00,Pret A Manger,-4.83,0.00,GBP,COMPLETED,1220.94
TOPUP,Current,2025-05-02 07:00:00,2025-05-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1420.94
Card Payment,Current,2025-05-18 09:00:00,2025-05-19 09:00:00,Trainline,-74.17,0.00,GBP,COMPLETED,1346.77
Card Payment,Current,2025-05-18 18:00:00,2025-05-19 18:00:00,Tesco,-65.13,0.00,GBP,COMPLETED,1281.64
Card Payment,Current,2025-05-19 13:00:00,2025-05-20 13:00:00,Netflix,-12.99,0.00,GBP,COMPLETED,1268.65
TOPUP,Current,2025-06-02 07:00:00,2025-06-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1468.65
Card Payment,Current,2025-06-02 13:00:00,2025-06-03 13:00:00,Pret A Manger,-6.45,0.00,GBP,COMPLETED,1462.20
Card Payment,Current,2025-06-17 09:00:00,2025-06-18 09:00:00,Tesco,-59.43,0.00,GBP,COMPLETED,1402.77
Card Payment,Current,2025-06-24 08:00:00,2025-06-25 08:00:00,Trainline,-67.98,0.00,GBP,COMPLETED,1334.79
Card Payment,Current,2025-06-26 20:00:00,2025-06-27 20:00:00,Uber Eats,-24.62,0.00,GBP,COMPLETED,1310.17
TOPUP,Current,2025-07-02 07:00:00,2025-07-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1510.17
Card Payment,Current,2025-07-08 08:00:00,2025-07-09 08:00:00,Sainsbury's,-44.14,0.00,GBP,COMPLETED,1466.03
Card Payment,Current,2025-07-24 10:00:00,2025-07-25 10:00:00,Pret A Manger,-11.15,0.00,GBP,COMPLETED,1454.88
TOPUP,Current,2025-08-02 07:00:00,2025-08-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1654.88
Card Payment,Current,2025-08-02 21:00:00,2025-08-03 21:00:00,Uber Eats,-25.29,0.00,GBP,COMPLETED,1629.59
Card Payment,Current,2025-08-03 11:00:00,2025-08-04 11:00:00,Hotel Bristol,-210.00,0.00,GBP,PENDING,1419.59
Card Payment,Current,2025-08-06 18:00:00,2025-08-07 18:00:00,Sainsbury's,-42.34,0.00,GBP,COMPLETED,1377.25
Card Payment,Current,2025-08-08 18:00:00,2025-08-09 18:00:00,Uber Eats,-29.47,0.00,GBP,COMPLETED,1347.78
TOPUP,Current,2025-09-02 07:00:00,2025-09-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1547.78
Card Payment,Current,2025-09-13 11:00:00,2025-09-14 11:00:00,Sainsbury's,-23.87,0.00,GBP,COMPLETED,1523.91
Card Payment,Current,2025-09-13 19:00:00,2025-09-14 19:00:00,Sainsbury's,-48.54,0.00,GBP,COMPLETED,1475.37
Card Payment,Current,2025-09-14 13:00:00,2025-09-15 13:00:00,Uber Eats,-34.92,0.00,GBP,COMPLETED,1440.45
Card Payment,Current,2025-09-27 08:00:00,2025-09-28 08:00:00,Trainline,-24.74,0.00,GBP,COMPLETED,1415.71
TOPUP,Current,2025-10-02 07:00:00,2025-10-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1615.71
Card Payment,Current,2025-10-06 18:00:00,2025-10-07 18:00:00,Netflix,-12.99,0.00,GBP,COMPLETED,1602.72
Card Payment,Current,2025-10-15 20:00:00,2025-10-16 20:00:00,Uber Eats,-29.17,0.00,GBP,COMPLETED,1573.55
Card Payment,Current,2025-10-26 14:00:00,2025-10-27 14:00:00,Uber Eats,-34.81,0.00,GBP,COMPLETED,1538.74
TOPUP,Current,2025-11-02 07:00:00,2025-11-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1738.74
Card Payment,Current,2025-11-13 11:00:00,2025-11-14 11:00:00,Sainsbury's,-47.75,0.00,GBP,COMPLETED,1690.99
Card Payment,Current,2025-11-17 17:00:00,2025-11-18 17:00:00,Sainsbury's,-48.21,0.00,GBP,COMPLETED,1642.78
Card Payment,Current,2025-11-20 20:00:00,2025-11-21 20:00:00,Trainline,-48.90,0.00,GBP,COMPLETED,1593.88
TOPUP,Current,2025-12-02 07:00:00,2025-12-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1793.88
Card Payment,Current,2025-12-12 18:00:00,2025-12-13 18:00:00,Tesco,-56.92,0.00,GBP,COMPLETED,1736.96
Card Payment,Current,2025-12-23 14:00:00,2025-12-24 14:00:00,Sainsbury's,-49.46,0.00,GBP,COMPLETED,1687.50
